2017-06-16 09:50:32,848 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:50:32,854 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:50:32,872 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:50:32,873 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:51:50,267 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:51:50,274 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:51:50,276 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:51:50,277 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 09:57:50,459 [Worker-50] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\RHB\BSIB Demo\BSIB-DEMO
2017-06-16 09:57:50,459 [Worker-50] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-06-16 09:58:11,955 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:58:12,061 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 09:58:12,123 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 09:58:12,124 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 09:58:33,482 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\RHB\BSIB Demo\BSIB-DEMO
2017-06-16 09:58:33,483 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-06-16 10:09:37,920 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for BSIB
2017-06-16 10:10:36,187 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:10:36,322 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 10:10:36,533 [Worker-57] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:10:36,534 [Worker-57] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 10:14:09,570 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:14:09,571 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 10:14:09,572 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:14:09,573 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 10:25:44,246 [Worker-68] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for BSIB
2017-06-16 10:25:54,609 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\RHB\BSIB Demo\BSIB-DEMO
2017-06-16 10:25:54,609 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-06-16 10:26:21,620 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:26:21,622 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2017-06-16 10:26:21,634 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 10:26:21,635 [Worker-68] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-16 10:26:50,315 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-06-16 10:27:08,783 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\RHB\BSIB Demo\BSIB-DEMO
2017-06-16 10:27:08,783 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B maven install
2017-06-16 10:28:45,820 [Worker-70] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: BSIB:BSIB:0 @ D:\RHB\BSIB Demo\BSIB-DEMO\pom.xml.
2017-06-16 10:28:47,988 [Worker-70] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 10:28:48,183 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.7.76:8081/artifactory/libs-release/au/com/bytecode/opencsv/2.2/opencsv-2.2.pom
2017-06-16 10:28:48,191 [Worker-70] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 10:28:48,200 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.7.76:8081/artifactory/libs-snapshot/au/com/bytecode/opencsv/2.2/opencsv-2.2.pom
2017-06-16 10:28:48,352 [Worker-70] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2017-06-16 10:28:48,362 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.100.7.76:8081/artifactory/libs-release/wsdl4j/wsdl4j/1.6.2/wsdl4j-1.6.2.pom
